date,open,high,low,close
2021-06-21,14055,14150.9,13967.9,14137.2
2021-06-22,14140.3,14288.5,14128,14270.4
2021-06-23,14275.1,14324.7,14247.6,14274.2
2021-06-24,14358.3,14429.1,14337.7,14366
2021-06-25,14396.6,14401.7,14324.3,14345.2
2021-06-28,14401.6,14530.1,14400.6,14525
2021-06-29,14523.6,14575.2,14481.8,14572.7
2021-06-30,14560.1,14582.3,14530.9,14554.8
2021-07-01,14530.6,14576.6,14483.4,14560.1
2021-07-02,14633.5,14738.1,14626.8,14727.6
2021-07-06,14755.2,14797.5,14635.3,14786.4
2021-07-07,14889.8,14891.2,14735.7,14810.5
2021-07-08,14577.7,14763.7,14551.8,14722.1
2021-07-09,14709.3,14838.7,14685.5,14826.1
2021-07-12,14878.7,14899.5,14813.8,14877.9
2021-07-13,14871,15002.3,14843.8,14874.5
2021-07-14,14984.9,15001.1,14871.7,14900.4
2021-07-15,14903.5,14907.5,14717.5,14794.7
2021-07-16,14842.1,14876,14667.1,14681.4
2021-07-19,14518,14579,14455.1,14549.1
2021-07-20,14601.3,14790.6,14530.8,14728.2
2021-07-21,14723.7,14843.2,14710.1,14842.6
2021-07-22,14865.5,14941.4,14865.5,14940.2
2021-07-23,15004.4,15125.8,14948,15111.8
2021-07-26,15088.3,15142.4,15048.2,15126
2021-07-27,15103,15107.7,14787.8,14957
2021-07-28,15005.2,15078.9,14913.5,15018.1
2021-07-29,15015.3,15092,15004.4,15048.4
2021-07-30,14882.4,14990.9,14882.4,14959.9
2021-08-02,15046.1,15059.9,14945.1,14963.6
2021-08-03,14997.2,15063.7,14864.5,15061.4
2021-08-04,15059.2,15117.4,15017.1,15083.4
2021-08-05,15105.4,15184.3,15083.8,15181.6
2021-08-06,15125.7,15162.3,15063,15109.4
2021-08-09,15136.1,15154.7,15081.8,15133.1
2021-08-10,15157.4,15169.5,15010.2,15053.6
2021-08-11,15101.8,15127.8,14972.6,15027.8
2021-08-12,15012.6,15097.9,14956.2,15089
2021-08-13,15101.8,15150.5,15079.3,15136.7
2021-08-16,15090,15142,14931.2,15140.8
2021-08-17,15018.9,15062.7,14906.2,15002.8
2021-08-18,14975,15039.9,14846.5,14857.9
2021-08-19,14773.2,15000.2,14773.2,14933.9
2021-08-20,14974.1,15103.9,14968.9,15092.6
2021-08-23,15140.1,15341.5,15140.1,15312.8
2021-08-24,15338.9,15384.4,15319.6,15357.7
2021-08-25,15384.8,15404.4,15341.9,15368.9
2021-08-26,15349,15369.3,15265.2,15278.5
2021-08-27,15305.7,15447,15292.7,15433
2021-08-30,15460.9,15620.6,15459.7,15605.1
2021-08-31,15601.3,15604.5,15522.8,15582.5
2021-09-01,15637.1,15696.4,15603.7,15611.6
2021-09-02,15656.3,15681.8,15554.3,15604.2
2021-09-03,15579,15668.1,15555,15652.9
2021-09-07,15662.3,15701.4,15610.2,15675.8
2021-09-08,15669,15669,15528.5,15620.8
2021-09-09,15639.4,15675.5,15556.7,15561
2021-09-10,15648,15673.5,15433.4,15440.7
2021-09-13,15545.7,15562.3,15351.7,15434.5
2021-09-14,15505.8,15526,15352.1,15382.9
2021-09-15,15419.9,15519,15316.4,15503.5
2021-09-16,15452.7,15539.1,15370.9,15515.9
2021-09-17,15481.4,15485.2,15291,15333.5
2021-09-20,15068.6,15157.3,14821,15012.2
2021-09-21,15097,15139.9,14987,15027.8
2021-09-22,15074,15230.3,15029.9,15176.5
2021-09-23,15231.2,15356.9,15199.4,15316.6
2021-09-24,15223,15345.5,15209.2,15329.7
2021-09-27,15205.2,15240.6,15106.4,15204.8
2021-09-28,15002,15040.6,14759,14770.3
2021-09-29,14835.5,14914.9,14727.4,14752.9
2021-09-30,14830.3,14888.2,14684.5,14689.6
2021-10-01,14731.4,14830.8,14555.1,14791.9
2021-10-04,14713.6,14727.6,14384.9,14472.1
2021-10-05,14533.4,14763.6,14520.2,14674.1
2021-10-06,14529.9,14775.6,14499.5,14766.8
2021-10-07,14899.1,15010.3,14878.2,14897.1
2021-10-08,14942.4,14948.3,14805.5,14820.7
2021-10-11,14765.7,14907.6,14709,14713.7
2021-10-12,14772.3,14784.8,14636.3,14662.1
2021-10-13,14751.8,14800.8,14676.6,14774.6
2021-10-14,14925.6,15059.9,14901.6,15052.4
2021-10-15,15107,15150.1,15064.6,15146.9
2021-10-18,15091.6,15307.5,15074.7,15300.9
2021-10-19,15349.5,15415,15320.6,15410.7
2021-10-20,15448,15457.1,15333.4,15388.7
2021-10-21,15365.8,15497.6,15350.5,15489.6
2021-10-22,15422.1,15474.3,15291.9,15355.1
2021-10-25,15417.3,15555.7,15338.5,15514.2
2021-10-26,15615.4,15710.8,15518.6,15559.5
2021-10-27,15603.2,15729.8,15578.7,15598.4
2021-10-28,15674.4,15784,15650,15778.2
2021-10-29,15638.7,15856.9,15638.7,15850.5
2021-11-01,15879.6,15910.3,15785.3,15905.3
2021-11-02,15885.3,15988.3,15877.3,15972.5
2021-11-03,16000.6,16157.6,15950.6,16144.5
2021-11-04,16193.2,16388,16169.6,16346.2
2021-11-05,16397.6,16454.5,16302.1,16359.4
2021-11-08,16351.5,16401.9,16314,16336
2021-11-09,16390,16401.9,16168.6,16219.9
2021-11-10,16087,16224.5,15905.3,15985.6
2021-11-11,16114,16116.2,16019.4,16032.5
2021-11-12,16078.1,16218.6,16012.8,16199.9
2021-11-15,16227,16256.7,16096.4,16189.1
2021-11-16,16170.3,16329.5,16156.7,16309.8
2021-11-17,16329.1,16399,16276.8,16308.1
2021-11-18,16398.8,16501.9,16309.5,16483
2021-11-19,16558.6,16625.9,16523.8,16573.3
2021-11-22,16644.8,16764.9,16374.8,16381
2021-11-23,16330.2,16417.5,16121.7,16306.7
2021-11-24,16202.3,16370.6,16106,16367.8
2021-11-26,16237.4,16302.6,15988.9,16025.6
2021-11-29,16263.4,16437.2,16214.6,16399.2
2021-11-30,16333.9,16454.6,16073.8,16135.9
2021-12-01,16348,16427.2,15864,15877.7
2021-12-02,15791.3,16066.3,15770.9,15990.8
2021-12-03,16039.4,16089.6,15543.3,15712
2021-12-06,15744.9,15898.6,15557.8,15846.2
2021-12-07,16139.6,16343.7,16128.4,16325.7
2021-12-08,16313.9,16401.1,16250.4,16394.3
2021-12-09,16337.8,16413.3,16141.4,16149.6
2021-12-10,16278.3,16339.1,16139,16332
2021-12-13,16317.9,16332.6,16075.5,16082.5
2021-12-14,15877.7,15995.2,15742.8,15914.9
2021-12-15,15908.5,16301.3,15746.9,16289.6
2021-12-16,16335,16340.5,15802.6,15863.9
2021-12-17,15714.5,15960.3,15664.1,15801.5
2021-12-20,15566.8,15662.6,15508.7,15627.6
2021-12-21,15794.4,15997.6,15617.5,15986.3
2021-12-22,15963.5,16186.2,15947.6,16180.1
2021-12-23,16203.8,16360.7,16188,16308.2
2021-12-27,16361.1,16567.6,16361.1,16567.5
2021-12-28,16602.9,16607.2,16458.5,16488.7
2021-12-29,16510.6,16548.9,16396.2,16491
2021-12-30,16485.4,16569.6,16415.1,16429.1
2021-12-31,16411.3,16464.6,16317.3,16320.1
2022-01-03,16395.5,16504.1,16306.6,16501.8
2022-01-04,16513.9,16513.9,16151.9,16279.7
2022-01-05,16190.6,16249.2,15763.8,15771.8
2022-01-06,15675.2,15900.6,15608.6,15765.4
2022-01-07,15774.1,15835,15526.8,15592.2
2022-01-10,15383.2,15627.9,15165.5,15614.4
2022-01-11,15582.7,15848.6,15496.9,15844.1
2022-01-12,15955.5,16017.4,15815.9,15905.1
2022-01-13,15970.1,15990.4,15468.1,15495.6
2022-01-14,15396.5,15617.2,15396.5,15611.6
2022-01-18,15378.1,15446.3,15183,15210.8
2022-01-19,15287.3,15382,15038.4,15047.8
2022-01-20,15176.4,15347.6,14832.7,14846.5
2022-01-21,14728.7,14868.5,14432.6,14438.4
2022-01-24,14160.9,14532.6,13724.9,14509.6
2022-01-25,14237.6,14410.4,14033.8,14149.1
2022-01-26,14492.5,14646.5,14006.4,14172.8
2022-01-27,14346.5,14419.5,13972.9,14003.1
2022-01-28,14091.3,14457.8,13880.5,14454.6
2022-01-31,14505.1,14934.5,14442.9,14930.1
2022-02-01,14966.6,15034.4,14749.5,15019.7
2022-02-02,15173,15196.4,14960.8,15139.7
2022-02-03,14693.9,14856.5,14471.2,14501.1
2022-02-04,14566.3,14832.1,14452.3,14694.4
2022-02-07,14716.4,14813.9,14524.6,14571.2
2022-02-08,14533.2,14785.2,14485.8,14747
2022-02-09,14931,15057.9,14870.4,15057
2022-02-10,14770.7,15037.3,14636.6,14705.6
2022-02-11,14739.5,14769.6,14194.5,14253.8
2022-02-14,14233.4,14400.8,14119.7,14268.6
2022-02-15,14482.1,14624.5,14444.5,14620.8
2022-02-16,14514.8,14647.8,14399.3,14603.6
2022-02-17,14485.1,14497.5,14155.4,14171.7
2022-02-18,14207.5,14225.7,13918.8,14009.5
2022-02-22,13892.8,14109.3,13720.9,13870.5
2022-02-23,14016.9,14035.9,13502.6,13509.4
2022-02-24,13065.4,13989.1,13065.4,13974.7
2022-02-25,13973.9,14193,13850.3,14189.2
2022-02-28,14058.6,14296.6,14009.4,14237.8
2022-03-01,14197.7,14271.6,13906.9,14006
2022-03-02,14075.1,14292.7,13962.7,14243.7
2022-03-03,14339.7,14342.6,13965.1,14035.2
2022-03-04,13957.6,13993,13738.6,13837.8
2022-03-07,13853.5,13879.1,13314.4,13319.4
2022-03-08,13275.2,13663.3,13129.4,13267.6
2022-03-09,13610.5,13793.1,13504.5,13742.2
2022-03-10,13577.8,13633.7,13399.5,13591
2022-03-11,13701.8,13714.4,13285.2,13301.8
2022-03-14,13248.1,13386.7,13020.4,13046.6
2022-03-15,13175,13488.2,13092.5,13458.6
2022-03-16,13633.1,13960.3,13475.1,13956.8
2022-03-17,13879,14125.7,13827.3,14118.6
2022-03-18,14061.3,14427.5,14014.4,14420.1
2022-03-21,14377.1,14470.7,14190.5,14376.1
2022-03-22,14396,14689,14385.5,14654.3
2022-03-23,14525.2,14681.3,14446,14447.5
2022-03-24,14529.7,14767.7,14440.7,14765.7
2022-03-25,14766.9,14805.9,14577.6,14754.3
2022-03-28,14763.2,14989.1,14705.9,14987.4
2022-03-29,15039.6,15265.4,15039.6,15239.3
2022-03-30,15177.2,15229,15010.3,15071.5
2022-03-31,15074.2,15088.4,14835.2,14838.5
2022-04-01,14886.9,14925.9,14723.8,14861.2
2022-04-04,14903.4,15161.9,14884.6,15159.6
2022-04-05,15109.3,15120.7,14782.6,14820.6
2022-04-06,14600.3,14639.3,14395.4,14498.9
2022-04-07,14469.5,14624.2,14315.7,14531.8
2022-04-08,14450.5,14490.2,14307.7,14327.3
2022-04-11,14149.6,14187.7,13979.1,13990.2
2022-04-12,14175.7,14264.7,13882.8,13940.2
2022-04-13,13939.6,14258.8,13919.5,14217.3
2022-04-14,14225.5,14235.4,13884.8,13893.2
2022-04-18,13859.5,13997.9,13789,13910.8
2022-04-19,13882.7,14236.5,13844.7,14210.3
2022-04-20,14246.2,14263.6,13962.9,13998.5
2022-04-21,14174.9,14277.2,13684.2,13720.5
2022-04-22,13714.6,13769.4,13342.8,13356.9
2022-04-25,13275.4,13541.8,13239.7,13533.2
2022-04-26,13447.7,13447.7,13009.7,13009.7
2022-04-27,13009.4,13241.9,12936.4,13003.4
2022-04-28,13255,13542.6,13038.2,13456.1
2022-04-29,13274.9,13428.5,12835.5,12854.8
2022-05-02,12864.8,13083.6,12716.6,13075.8
2022-05-03,13045.4,13178.7,12982.7,13089.9
2022-05-04,13110.3,13556.7,12887.5,13535.7
2022-05-05,13344.8,13344.8,12710.6,12850.6
2022-05-06,12776.9,12926.6,12522.8,12693.5
2022-05-09,12465.9,12542.3,12136.2,12187.7
2022-05-10,12496.8,12537.9,12173.5,12345.9
2022-05-11,12240.2,12470.9,11939.1,11967.6
2022-05-12,11790.1,12128.7,11692.1,11945.5
2022-05-13,12125.9,12429.3,12069.1,12387.4
2022-05-16,12297.1,12395.5,12196.2,12243.6
2022-05-17,12496.6,12573,12334,12564.1
2022-05-18,12352.9,12390,11887,11928.3
2022-05-19,11872.6,12066.9,11795.8,11875.6
2022-05-20,12037,12044.7,11492.3,11835.6
2022-05-23,11867.1,12047.8,11785.8,12034.3
2022-05-24,11807.8,11842.8,11576.1,11769.8
2022-05-25,11732.5,12028.9,11714.3,11943.9
2022-05-26,11906.8,12337.7,11901.9,12276.8
2022-05-27,12421.8,12682.6,12405.3,12681.4
2022-05-31,12688.9,12762.8,12482.3,12642.1
2022-06-01,12750.3,12820.5,12457.9,12548.4
2022-06-02,12498.6,12897.6,12447.8,12892.9
2022-06-03,12650.4,12724.8,12505.8,12548
2022-06-06,12745.9,12804.5,12534.6,12599.6
2022-06-07,12456.5,12737.3,12413.6,12711.7
2022-06-08,12682.8,12776.6,12578.5,12615.1
2022-06-09,12543.4,12666.4,12265.9,12269.8
2022-06-10,12052.6,12082.7,11825.4,11832.8
2022-06-13,11472.2,11568.6,11254.2,11288.3
2022-06-14,11385.2,11418.2,11205.9,11311.7
2022-06-15,11468.1,11751.3,11346.5,11593.8
2022-06-16,11286.9,11311,11037.2,11127.6
2022-06-17,11172.7,11358,11089.9,11266
2022-06-21,11447,11638.5,11447,11546.8
2022-06-22,11427.7,11708.1,11423.2,11527.7
2022-06-23,11622.1,11729.6,11515.5,11697.7
2022-06-24,11826.9,12112.8,11812.2,12105.8
2022-06-27,12157.9,12176,11965.7,12008.2
2022-06-28,12021.3,12133.9,11633.1,11637.8
2022-06-29,11619,11710.2,11537.7,11658.3
2022-06-30,11532.3,11651,11322.9,11503.7
2022-07-01,11472.6,11592.8,11378.6,11585.7
2022-07-05,11419.3,11781.7,11366.1,11779.9
2022-07-06,11807.1,11941.3,11727.4,11852.6
2022-07-07,11913.7,12137.7,11897.5,12109.1
2022-07-08,11978,12179.3,11956,12125.7
2022-07-11,12008.8,12026.1,11830.9,11860.3
2022-07-12,11926.8,11990.4,11684,11745
2022-07-13,11523.9,11819.7,11499,11728.5
2022-07-14,11637.2,11801.1,11488.3,11768.4
2022-07-15,11896.2,11987.5,11828.1,11983.6
2022-07-18,12089.7,12156.1,11836.5,11877.5
2022-07-19,12046.7,12258.4,11967.9,12249.4
2022-07-20,12269.1,12488.4,12232.2,12439.7
2022-07-21,12466.1,12620.5,12351.4,12619.4
2022-07-22,12575.8,12662.9,12322.8,12396.5
2022-07-25,12391.2,12415.6,12244.4,12328.4
2022-07-26,12248.2,12259,12051.2,12086.9
2022-07-27,12299.3,12660.8,12256.9,12601.5
2022-07-28,12580.6,12741.8,12433.6,12717.9
2022-07-29,12784.2,12986.6,12726.2,12948
2022-08-01,12877,13084.6,12833.2,12940.8
2022-08-02,12853,13073.3,12809,12901.6
2022-08-03,12983.6,13289.2,12974.9,13253.3
2022-08-04,13253.8,13326.7,13170.4,13311
2022-08-05,13107.4,13286,13070.4,13207.7
2022-08-08,13227.1,13394.5,13103.8,13159.2
2022-08-09,13064.2,13095.7,12945.6,13008.2
2022-08-10,13330.7,13386.8,13220.1,13378.3
2022-08-11,13471,13555.4,13271.3,13292
2022-08-12,13384.6,13565.9,13341.6,13565.9
2022-08-15,13529.7,13685.7,13524.5,13667.2
2022-08-16,13617.7,13720.9,13508.5,13635.2
2022-08-17,13499.2,13591.6,13389.8,13470.9
2022-08-18,13474.2,13553.3,13405.7,13506
2022-08-19,13370.2,13402.6,13210.8,13242.9
2022-08-22,13056.4,13073.1,12859.8,12890.5
2022-08-23,12885.3,13000.7,12852.7,12881.8
2022-08-24,12876.2,12995.1,12843.6,12917.9
2022-08-25,12984.7,13146.8,12951.6,13143.6
2022-08-26,13129.9,13175.3,12603.4,12605.2
2022-08-29,12488.5,12594.3,12443.4,12484.3
2022-08-30,12562.4,12572.9,12240.8,12342.7
2022-08-31,12448.1,12502.1,12268.1,12272
2022-09-01,12158.9,12290.3,12013,12274.6
2022-09-02,12392.5,12451.3,12035.5,12098.4
2022-09-06,12106.6,12152.4,11928.8,12011.3
2022-09-07,12038.2,12298.1,12027,12259.4
2022-09-08,12139.6,12374.1,12120.3,12321.2
2022-09-09,12424.1,12610.4,12424.1,12588.3
2022-09-12,12649.2,12752.8,12639.8,12739.7
2022-09-13,12364.8,12420,12004.4,12033.6
2022-09-14,12092,12170.3,12016.4,12134.4
2022-09-15,12034.4,12153.3,11867.9,11927.5
2022-09-16,11775.9,11875.1,11710.3,11861.4
2022-09-19,11753.6,11956.8,11752.4,11953.3
2022-09-20,11855.8,11951.1,11761.7,11851.5
2022-09-21,11892.7,12062.5,11636.2,11637.8
2022-09-22,11574.3,11618,11448.9,11501.6
2022-09-23,11398.8,11402.4,11169.7,11311.2
2022-09-26,11283.1,11473.4,11235.7,11254.1
2022-09-27,11411.3,11502.4,11175.3,11271.8
2022-09-28,11258.7,11546.9,11210.8,11493.8
2022-09-29,11334.6,11339.9,11038.9,11164.8
2022-09-30,11123.1,11296.2,10967,10971.2
2022-10-03,11059.2,11296.4,10985,11229.7
2022-10-04,11477.8,11609.2,11462.4,11582.5
2022-10-05,11429.5,11641.5,11312.5,11573.2
2022-10-06,11556.4,11660.6,11473.5,11485.5
2022-10-07,11272.5,11293.6,10991.7,11039.5
2022-10-10,11048.5,11063.2,10824.3,10927
2022-10-11,10865.3,10981.9,10716.3,10791.3
